name,site_name,most_popular_mainset,most_popular_offset,most_popular_slot2,most_popular_slot4,most_popular_slot6,stats_priority,main_sets,offset_sets,slot2s,slot4s,slot6s,HP_value,ATK_value,DEF_value,SPD_value,CR_value,CD_value,ACC_value,RES_value,error,top_2_sub_stats,top_3_sub_stats,top_4_sub_stats
Akhamamir,Akhamamir,RAGE,BLADE,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,RAGE > SWIFT > FATAL > BLADE > DESPAIR > DESTROY > ENDURE > ENERGY > SHIELD > VIOLENT,BLADE > WILL > Unknown > ENERGY > FOCUS > ENDURE > SHIELD,SPD > ATK,CD,ATK > HP,1.38,1.79,1.1,2.66,6.65,1.49,1.16,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Akia,Akia,SWIFT,WILL,SPD,CD,ATK,ACC > SPD > CR > HP > ATK > DEF > RES > CD,SWIFT > DESPAIR > VIOLENT > BLADE > GUARD > ENERGY > ENHANCE > FATAL > REVENGE > SHIELD > VAMPIRE,WILL > REVENGE > Unknown > FOCUS > BLADE > ENERGY > DESTROY > GUARD > SHIELD,SPD > ATK > HP,CD > HP > DEF > CR > ATK > X,ATK > HP > ACC > DEF,1.68,1.25,1.25,3.03,2.04,1.0,3.3,1.19,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Akroma,Akroma,VIOLENT,REVENGE,SPD,CD,ATK,CR > SPD > HP > ATK > DEF > ACC > CD > RES,VIOLENT > VAMPIRE > GUARD,REVENGE > BLADE > DESTROY > ENERGY > NEMESIS > SHIELD > Unknown,SPD > HP > ATK,CD > HP,ATK > HP > DEF,2.43,1.65,1.58,2.69,6.56,1.13,1.19,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Alexandra,Alexandra,DESPAIR,WILL,SPD,CD,HP,SPD > CR > HP > ACC > DEF > ATK > RES > CD,DESPAIR > VIOLENT > RAGE > SWIFT > ENERGY > NEMESIS > VAMPIRE,WILL > REVENGE > ENERGY > NEMESIS > Unknown > BLADE > DESTROY > FOCUS > GUARD > SHIELD,SPD > HP > ATK,CD > HP > CR > DEF,HP > ATK,2.01,1.15,1.33,2.86,2.09,1.0,1.57,1.13,,SPD > CR,SPD > CR > HP,SPD > CR > HP > ACC
Alice / Fire Hollyberry Cookie,Alice / Fire Hollyberry Cookie,GUARD,GUARD,SPD,DEF,DEF,SPD > HP > ACC > DEF > RES > CR > ATK > CD,GUARD > SWIFT > DESTROY > ENDURE > WILL > BLADE > NEMESIS > SHIELD > VAMPIRE,GUARD > NEMESIS > REVENGE > WILL > DESTROY > ENDURE > FOCUS > SHIELD > Unknown,SPD > DEF > HP,DEF > HP > CD,DEF > HP,2.59,1.15,1.72,3.18,1.41,1.0,1.93,1.71,,SPD > HP,SPD > HP > ACC,SPD > HP > ACC > DEF
Alicia,Alicia,SWIFT,WILL,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,SWIFT > RAGE > FATAL > BLADE > ENDURE > FOCUS > VIOLENT,WILL > BLADE > FOCUS > Unknown > ENDURE > GUARD > SHIELD,SPD > ATK,CD > CR,ATK > HP,1.39,1.9,1.11,2.63,5.41,1.67,1.34,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Allen,Allen,ENERGY,ENERGY,HP,HP,HP,HP > ACC > SPD > CR > DEF > ATK > RES > CD,ENERGY > DESTROY > GUARD > SWIFT > VIOLENT,ENERGY > DESTROY > REVENGE > SHIELD,HP > ATK > SPD,HP > DEF > CD,HP > DEF,2.89,1.44,1.79,2.08,2.0,1.0,2.08,1.27,,HP > ACC,HP > ACC > SPD,HP > ACC > SPD > CR
Amanda,Amanda,DESPAIR,BLADE,ATK,CD,ATK,CR > ACC > RES > SPD > HP > CD > ATK > DEF,DESPAIR > BLADE > SWIFT > RAGE > FATAL,BLADE > FOCUS > FIGHT > NEMESIS > Unknown,ATK > SPD > HP,CD > ATK > CR > DEF,ATK > DEF,1.34,1.14,1.0,1.41,3.77,1.22,1.93,1.43,,CR > ACC,CR > ACC > RES,CR > ACC > RES > SPD
Amarna,Amarna,VIOLENT,WILL,SPD,HP,HP,SPD > ACC > HP > RES > DEF > CR > ATK > CD,VIOLENT > SWIFT > NEMESIS > REVENGE > VAMPIRE,WILL > REVENGE > ENDURE > NEMESIS > FOCUS > DETERMINATION > ENERGY > Unknown,SPD > HP > DEF,HP > CD > DEF,HP > DEF > RES > ACC > ATK,2.07,1.27,1.66,3.1,1.43,1.0,2.5,1.81,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > RES
Amber,Amber,VIOLENT,WILL,SPD,HP,HP,ACC > SPD > CR > HP > ATK > DEF > RES > CD,VIOLENT > DESPAIR > SWIFT > DESTROY,WILL > FOCUS > BLADE > Unknown > ENERGY > DESTROY > GUARD > NEMESIS > SHIELD,SPD > ATK > HP,HP > CR > CD > ATK > DEF,HP > ATK > DEF,1.89,1.62,1.27,3.21,1.92,1.0,3.38,1.05,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Amduat,Amduat,DESPAIR,WILL,SPD,HP,HP,SPD > ACC > HP > CR > ATK > DEF > RES > CD,DESPAIR > SWIFT > VIOLENT,WILL > BLADE > DESTROY > NEMESIS > Unknown > FOCUS > SHIELD > ENERGY > GUARD,SPD,HP > CD > ATK > DEF > CR,HP > ATK > ACC > DEF > RES,1.96,1.43,1.41,3.47,1.86,1.0,2.95,1.13,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > CR
Amelia,Amelia,SWIFT,WILL,SPD,HP,HP,SPD > HP > DEF > RES > ACC > ATK > CR > CD,SWIFT > VIOLENT > WILL > DESTROY > ENDURE > NEMESIS,WILL > Unknown > ENDURE > NEMESIS > SHIELD > BLADE > DESTROY > ENERGY > FOCUS > GUARD,SPD > HP,HP > DEF > CD > CR > X,HP > DEF > RES > ATK > X,2.29,1.32,2.04,3.9,1.26,1.0,1.91,1.92,,SPD > HP,SPD > HP > DEF,SPD > HP > DEF > RES
Anavel,Anavel,VIOLENT,WILL,SPD,HP,HP,SPD > ACC > HP > RES > DEF > ATK > CR > CD,VIOLENT > SWIFT > DESPAIR > ENERGY > FATAL > FOCUS,WILL > NEMESIS > ENERGY > FOCUS > ENDURE > GUARD > REVENGE > Unknown,SPD > HP > ATK,HP > ATK > DEF > CD > CR,HP > ATK > ACC > RES > DEF,2.06,1.46,1.73,3.13,1.33,1.0,2.98,1.97,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > RES
Anduril,Anduril,FATAL,NEMESIS,ATK,ATK,ATK,ACC > RES > HP > SPD > ATK > CR > DEF > CD,FATAL,NEMESIS,ATK,ATK,ATK,2.67,1.6,1.14,2.0,1.33,1.0,8.0,4.0,,ACC > RES,ACC > RES > HP,ACC > RES > HP > SPD
Angela / Wind Vanilla Cookie,Angela / Wind Vanilla Cookie,VIOLENT,ENERGY,SPD,HP,HP,SPD > HP > RES > ACC > DEF > CR > ATK > CD,VIOLENT > SWIFT > REVENGE > NEMESIS > TOLERANCE > ENERGY > SHIELD,ENERGY > REVENGE > SHIELD > DESTROY > ENDURE > WILL > ENHANCE > NEMESIS > Unknown,SPD > HP > DEF,HP > DEF > ATK > CD,HP > ACC > ATK > DEF,2.53,1.19,1.49,2.57,1.24,1.0,1.62,2.28,,SPD > HP,SPD > HP > RES,SPD > HP > RES > ACC
Anne,Anne,VIOLENT,Unknown,SPD,HP,DEF,ACC > CR > SPD > HP > RES > DEF > ATK > CD,VIOLENT > DESPAIR > SWIFT > ENDURE > FATAL > VAMPIRE,Unknown > WILL > BLADE > ENDURE > FOCUS > REVENGE > NEMESIS > SHIELD,SPD > ATK > HP,HP > ATK > CD > CR > X,DEF > HP > ATK > ACC > RES,1.7,1.18,1.39,2.0,2.71,1.0,2.71,1.54,,ACC > CR,ACC > CR > SPD,ACC > CR > SPD > HP
Antares,Antares,DESPAIR,REVENGE,SPD,CD,HP,CR > SPD > HP > ACC > ATK > DEF > RES > CD,DESPAIR > VIOLENT > SWIFT,REVENGE > WILL > FOCUS > BLADE > NEMESIS > DESTROY > ENDURE > ENERGY > SHIELD > TOLERANCE > Unknown,SPD > ATK > HP > DEF,CD > HP > CR > DEF,HP > ATK > DEF > ACC,1.91,1.45,1.4,2.15,3.67,1.0,1.53,1.12,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ACC
Aqcus,Aqcus,FATAL,ENERGY,ATK,CD,ATK,CR > ACC > HP > RES > SPD > ATK > CD > DEF,FATAL > RAGE > BLADE > GUARD > SWIFT > VAMPIRE > VIOLENT > DESPAIR > FOCUS > WILL,ENERGY > REVENGE > ENDURE > Unknown > BLADE > SHIELD > FOCUS > GUARD,ATK > SPD > HP,CD > ATK > CR,ATK > HP > DEF > ACC > RES,1.4,1.24,1.0,1.35,2.8,1.12,1.66,1.4,,CR > ACC,CR > ACC > HP,CR > ACC > HP > RES
Aquila,Aquila,SWIFT,WILL,SPD,HP,ACC,ACC > SPD > HP > CR > RES > DEF > ATK > CD,SWIFT > DESPAIR > SHIELD > WILL > ACCURACY > REVENGE > VAMPIRE > VIOLENT,WILL > Unknown > FOCUS > SHIELD > DESTROY > GUARD > ACCURACY > BLADE > ENERGY > FIGHT,SPD > DEF > HP > ATK,HP > DEF > CD > CR > X > ATK,ACC > ATK > HP > DEF > RES,1.9,1.28,1.47,3.51,1.63,1.0,3.69,1.56,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
Arang,Arang,FIGHT,FIGHT,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > DEF > CD > RES,FIGHT > FATAL > SWIFT > BLADE > FOCUS > NEMESIS > RAGE > SHIELD > ENDURE > VIOLENT,FIGHT > BLADE > WILL > FOCUS > DESTROY > ENDURE > ENERGY > ENHANCE > NEMESIS > REVENGE > SHIELD > Unknown,SPD > ATK > HP,CD > CR > DEF > HP > ATK,ATK > HP > DEF > X,1.51,1.45,1.14,2.08,3.29,1.03,1.33,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Ardella,Ardella,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > HP > ACC > ATK > DEF > RES > CD,SWIFT > FATAL > VAMPIRE > FOCUS > REVENGE > ENDURE > ENHANCE > FIGHT > RAGE > VIOLENT,BLADE > REVENGE > Unknown > ENERGY > FOCUS > GUARD > ENDURE > FIGHT > NEMESIS > SHIELD,SPD > ATK > HP,CD > DEF,ATK > HP,1.49,1.4,1.03,2.22,4.71,1.0,1.45,1.01,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ACC
Argen,Argen,FATAL,BLADE,ATK,CD,ATK,CR > SPD > HP > ATK > ACC > RES > DEF > CD,FATAL > SWIFT > RAGE > VIOLENT > BLADE > VAMPIRE > ENERGY > GUARD > NEMESIS > DESTROY > ENDURE > FIGHT,BLADE > Unknown > ENERGY > GUARD > WILL > ENDURE > REVENGE > DESTROY > FOCUS > ACCURACY > DETERMINATION > NEMESIS,ATK > SPD,CD > HP > ATK > CR,ATK > DEF > HP > ACC > RES,1.39,1.22,1.02,1.79,5.49,1.0,1.13,1.07,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Aria,Aria,DESPAIR,FOCUS,SPD,CD,HP,ACC > SPD > CR > HP > DEF > RES > ATK > CD,DESPAIR > SWIFT > VIOLENT > REVENGE > BLADE > DETERMINATION > SHIELD,FOCUS > REVENGE > WILL > Unknown > GUARD > BLADE > ENDURE > ENERGY,SPD > HP > ATK > DEF,CD > HP > DEF > CR > ATK > X,HP > ATK > ACC > DEF,1.76,1.31,1.47,3.07,1.92,1.0,4.0,1.34,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Ariana / Light Vanilla Cookie,Ariana / Light Vanilla Cookie,VIOLENT,WILL,SPD,HP,HP,SPD > RES > HP > DEF > CR > ATK > ACC > CD,VIOLENT,WILL > REVENGE,SPD > HP,HP > DEF,HP > RES,2.53,1.2,1.37,3.2,1.33,1.0,1.17,3.0,,SPD > RES,SPD > RES > HP,SPD > RES > HP > DEF
Ariel,Ariel,NEMESIS,NEMESIS,SPD,HP,HP,SPD > RES > HP > DEF > ACC > CR > ATK > CD,NEMESIS > VIOLENT > SWIFT > ENERGY > DESTROY > ENDURE > SHIELD,NEMESIS > WILL > BLADE > ENDURE > FOCUS,SPD > DEF > HP,HP > DEF > CD,HP > DEF > RES,2.4,1.18,1.81,3.2,1.31,1.0,1.71,2.5,,SPD > RES,SPD > RES > HP,SPD > RES > HP > DEF
Arkajan,Arkajan,DESPAIR,REVENGE,DEF,DEF,DEF,CR > ACC > HP > SPD > RES > DEF > ATK > CD,DESPAIR > GUARD > SHIELD,REVENGE > DESTROY > GUARD > NEMESIS > BLADE > ENERGY > Unknown,DEF > SPD > HP,DEF > HP > CD > ATK > CR,DEF > HP > ATK,1.96,1.16,1.49,1.93,3.11,1.0,1.99,1.54,,CR > ACC,CR > ACC > HP,CR > ACC > HP > SPD
Arnold,Arnold,NEMESIS,NEMESIS,HP,HP,HP,SPD > HP > ACC > DEF > RES > CR > ATK > CD,NEMESIS > SWIFT > VIOLENT > DESTROY > ENERGY > WILL > BLADE > ENDURE > FOCUS > VAMPIRE,NEMESIS > ENERGY > WILL > Unknown > ENDURE > DESTROY > FIGHT > FOCUS > GUARD > SHIELD,HP > SPD,HP > CD,HP > ATK,2.54,1.18,1.74,3.51,1.44,1.0,2.11,1.52,,SPD > HP,SPD > HP > ACC,SPD > HP > ACC > DEF
Artamiel,Artamiel,DESPAIR,DESTROY,DEF,CD,DEF,RES > CR > SPD > HP > DEF > ACC > ATK > CD,DESPAIR > VIOLENT,DESTROY > WILL > ENDURE > NEMESIS > BLADE > GUARD,DEF > SPD > HP,CD > HP > DEF,DEF > HP > RES,1.97,1.01,1.6,2.06,2.61,1.0,1.36,2.71,,RES > CR,RES > CR > SPD,RES > CR > SPD > HP
Aschubel,Aschubel,SWIFT,WILL,SPD,HP,ACC,SPD > ACC > HP > DEF > RES > CR > ATK > CD,SWIFT > VIOLENT,WILL > Unknown > FOCUS > DESTROY > ENDURE > GUARD,SPD,HP > ATK > DEF > CD > CR,ACC > HP > DEF > ATK > RES,2.2,1.24,1.71,5.02,1.25,1.0,3.27,1.44,,SPD > ACC,SPD > ACC > HP,SPD > ACC > HP > DEF
Ashour / Fire Bayek,Ashour / Fire Bayek,VIOLENT,DESTROY,SPD,HP,HP,SPD > ACC > CR > HP > DEF > ATK > RES > CD,VIOLENT > NEMESIS,DESTROY > NEMESIS > WILL > FOCUS > REVENGE > ENDURE > Unknown,SPD > HP > ATK,HP > CD > CR,HP > DEF,2.22,1.33,1.41,2.68,2.5,1.0,2.5,1.22,,SPD > ACC,SPD > ACC > CR,SPD > ACC > CR > HP
Asima,Asima,DESPAIR,WILL,SPD,CD,ATK,SPD > CR > ACC > HP > ATK > DEF > CD > RES,DESPAIR > VIOLENT > SWIFT > FATAL,WILL > FOCUS > BLADE > DESTROY > FIGHT > GUARD > REVENGE > SHIELD > Unknown,SPD > ATK > HP,CD > CR > HP > ATK,ATK > HP,1.82,1.64,1.31,3.26,3.18,1.12,2.35,1.0,,SPD > CR,SPD > CR > ACC,SPD > CR > ACC > HP
Astar,Astar,VAMPIRE,BLADE,ATK,CD,ATK,CR > SPD > ATK > HP > CD > ACC > DEF > RES,VAMPIRE > RAGE > DESPAIR > SHIELD > SWIFT > FATAL > VIOLENT,BLADE > REVENGE > WILL > GUARD > Unknown > DESTROY > SHIELD > DETERMINATION > ENERGY > FIGHT > NEMESIS,ATK > SPD > HP,CD > ATK > CR > DEF > HP,ATK > HP > DEF > X,1.46,1.57,1.09,1.86,4.68,1.42,1.26,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Astrid / Wind Eivor,Astrid / Wind Eivor,VIOLENT,Unknown,SPD,HP,HP,ACC > SPD > HP > CR > ATK > DEF > RES > CD,VIOLENT > FOCUS > GUARD > SWIFT,Unknown > FOCUS > FIGHT > NEMESIS > REVENGE > SHIELD > WILL,SPD > HP,HP > ATK > CD > CR > DEF,HP > ATK > RES > Unknown,1.95,1.37,1.16,2.0,1.54,1.0,4.35,1.16,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
Atenai,Atenai,SWIFT,BLADE,SPD,CR,HP,ACC > SPD > CR > HP > RES > DEF > ATK > CD,SWIFT > ENDURE > FOCUS > WILL > REVENGE > SHIELD > VIOLENT > NEMESIS > BLADE > ENERGY,BLADE > REVENGE > Unknown > FOCUS > ENDURE > GUARD > NEMESIS > SHIELD > WILL > DESTROY > ENERGY > TOLERANCE,SPD > DEF > HP,CR > HP > DEF,HP > DEF > ACC > ATK,1.78,1.11,1.42,2.73,2.09,1.0,3.27,1.7,,ACC > SPD,ACC > SPD > CR,ACC > SPD > CR > HP
Audrey / Light Hollyberry Cookie,Audrey / Light Hollyberry Cookie,VIOLENT,REVENGE,SPD,DEF,DEF,HP > ACC > SPD > DEF > CR > RES > ATK > CD,VIOLENT > REVENGE,REVENGE > WILL > GUARD > DESTROY > ENDURE > Unknown,SPD > DEF,DEF > CR > CD > HP,DEF > HP,3.03,1.12,1.81,2.19,1.65,1.0,2.24,1.49,,HP > ACC,HP > ACC > SPD,HP > ACC > SPD > DEF
Aurelia / Light Kassandra,Aurelia / Light Kassandra,DESPAIR,WILL,SPD,HP,HP,ACC > CR > SPD > HP > ATK > DEF > RES > CD,DESPAIR > VIOLENT > FATAL > NEMESIS > SWIFT > WILL,WILL > Unknown > FOCUS > BLADE > DESTROY > NEMESIS,SPD > HP,HP > CD > DEF > ATK,HP > ATK > DEF > Unknown,2.12,1.45,1.28,2.42,2.42,1.0,2.81,1.19,,ACC > CR,ACC > CR > SPD,ACC > CR > SPD > HP
Avaris,Avaris,SWIFT,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > CD > DEF > RES,SWIFT > FATAL > VAMPIRE > VIOLENT > RAGE > WILL > BLADE > ENDURE > FOCUS > GUARD > NEMESIS,WILL > BLADE > Unknown > DESTROY > NEMESIS > SHIELD > ENERGY > FOCUS > GUARD,SPD > ATK > HP,CD > CR > HP,ATK > HP > DEF,1.69,1.6,1.07,2.44,4.63,1.13,1.28,1.0,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Baekdu,Baekdu,RAGE,Unknown,SPD,CD,ATK,CR > ACC > SPD > HP > ATK > RES > CD > DEF,RAGE > SWIFT > DESTROY > FATAL > VIOLENT > BLADE > FOCUS > GUARD > NEMESIS > REVENGE > UNKNOWN,Unknown > FOCUS > BLADE > DESTROY > ENDURE > REVENGE > WILL,SPD > ATK,CD > HP > ATK > CR,ATK > HP > ACC > DEF,1.59,1.25,1.0,1.69,3.1,1.11,2.32,1.16,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
Bael,Bael,SWIFT,WILL,SPD,CD,ATK,CR > SPD > ATK > ACC > HP > CD > RES > DEF,SWIFT > RAGE > DESPAIR > FATAL > BLADE > REVENGE > VIOLENT,WILL > Unknown > BLADE > FOCUS > ENERGY > NEMESIS > REVENGE > SHIELD,SPD > ATK,CD > CR,ATK > ACC,1.33,1.59,1.0,2.7,5.76,1.26,1.53,1.1,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > ACC
Bagir,Bagir,SWIFT,WILL,SPD,CD,DEF,ACC > SPD > HP > CR > DEF > RES > ATK > CD,SWIFT > VIOLENT > RAGE > NEMESIS > WILL > BLADE > FOCUS > GUARD > TOLERANCE,WILL > FOCUS > GUARD > Unknown > SHIELD > BLADE > ENERGY > DESTROY > ENDURE > NEMESIS,SPD > DEF,CD > DEF > HP > CR,DEF > HP > ACC,1.91,1.03,1.32,2.58,1.9,1.0,2.58,1.15,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
Bailey,Bailey,SWIFT,BLADE,SPD,CD,ATK,CR > SPD > ATK > HP > ACC > CD > DEF > RES,SWIFT > VIOLENT > RAGE > SHIELD > VAMPIRE,BLADE > WILL > Unknown > SHIELD > ENDURE > ENERGY > FOCUS > REVENGE,SPD > ATK > HP,CD > CR,ATK > HP,1.49,1.64,1.09,3.19,5.96,1.37,1.41,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > HP
Baleygr,Baleygr,RAGE,WILL,SPD,CD,ATK,CR > SPD > ATK > CD > HP > ACC > DEF > RES,RAGE > SWIFT > FIGHT > WILL > FATAL > VIOLENT > DESPAIR > BLADE > REVENGE > SHIELD > TOLERANCE,WILL > SHIELD > Unknown > BLADE > FIGHT > GUARD > ACCURACY > DESTROY > ENDURE > REVENGE,SPD > ATK > HP,CD > ATK > CR > HP,ATK > HP,1.51,1.62,1.12,2.08,5.44,1.61,1.2,1.0,,CR > SPD,CR > SPD > ATK,CR > SPD > ATK > CD
Barbara,Barbara,SWIFT,WILL,SPD,CD,ATK,CR > SPD > HP > ATK > ACC > DEF > RES > CD,SWIFT > VIOLENT,WILL > BLADE > Unknown > ENDURE > NEMESIS > SHIELD,SPD,CD > ATK,ATK > HP > DEF,1.81,1.59,1.18,3.44,5.69,1.0,1.54,1.01,,CR > SPD,CR > SPD > HP,CR > SPD > HP > ATK
Baretta,Baretta,DESPAIR,FOCUS,SPD,HP,DEF,ACC > SPD > HP > CR > DEF > RES > ATK > CD,DESPAIR > FOCUS > GUARD > SWIFT > VAMPIRE > VIOLENT,FOCUS > Unknown > DESTROY > ENDURE > ENERGY > REVENGE > SHIELD > WILL,SPD > ATK > HP,HP > CD > DEF > X,DEF > HP > ACC > ATK,2.1,1.33,1.36,2.89,1.44,1.0,4.19,1.35,,ACC > SPD,ACC > SPD > HP,ACC > SPD > HP > CR
Barque,Barque,VIOLENT,BLADE,SPD,CD,ATK,CR > ACC > SPD > HP > ATK > CD > DEF > RES,VIOLENT > SWIFT > BLADE > FATAL > RAGE > FOCUS > VAMPIRE > ENDURE > FIGHT > REVENGE > WILL,BLADE > FOCUS > WILL > Unknown > REVENGE > DESTROY > FIGHT > GUARD > NEMESIS > SHIELD,SPD > ATK > HP,CD > DEF > HP,ATK > HP > ACC > DEF,1.44,1.35,1.07,2.0,4.73,1.15,2.18,1.0,,CR > ACC,CR > ACC > SPD,CR > ACC > SPD > HP
